source	time	heading	story	url
Forbes	1549286100	Why There Will Be No Data Science Job Titles By 2029	There will be no data science job listings in about 10 years, and here is why. There are no MBA jobs in 2019, just like there are no computer science jobs. MBAs ...	https://news.google.com/articles/CAIiEE-NJ2zOMRbYrWijhBSz9l8qFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
The Indian Express	1549780280	Data science, AI professionals in demand in 2019: Report	Top tech recruiters are increasingly looking for people with expertise in artificial intelligence (AI) and data science, according to online job portal shine.com.	https://news.google.com/articles/CAIiEN0G8GMdy93jnd4u6tIpdwkqGAgEKg8IACoHCAow3rvTBDD89X4w8YzmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
InformationWeek	1547625600	Predictions: 2019 Data Science Jobs Market	Take a look at the forces shaping the job market for data scientists and AI experts, according to a leading quantitative executive recruitment specialist.	https://news.google.com/articles/CBMigQFodHRwczovL3d3dy5pbmZvcm1hdGlvbndlZWsuY29tL3N0cmF0ZWdpYy1jaW8vdGVhbS1idWlsZGluZy1hbmQtc3RhZmZpbmcvcHJlZGljdGlvbnMtMjAxOS1kYXRhLXNjaWVuY2Utam9icy1tYXJrZXQvZC9kLWlkLzEzMzM2NTnSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
TechRepublic	1547712000	Data science jobs up 29% this year, these cities pay pros the most	Demand for data scientists continues to grow, as average salaries for these positions often soar over $100000, according to Indeed.	https://news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LnRlY2hyZXB1YmxpYy5jb20vYXJ0aWNsZS9kYXRhLXNjaWVuY2Utam9icy11cC0yOS10aGlzLXllYXItdGhlc2UtY2l0aWVzLXBheS1wcm9zLXRoZS1tb3N0L9IBvgFodHRwczovL3d3dy10ZWNocmVwdWJsaWMtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnRlY2hyZXB1YmxpYy5jb20vZ29vZ2xlLWFtcC9hcnRpY2xlL2RhdGEtc2NpZW5jZS1qb2JzLXVwLTI5LXRoaXMteWVhci10aGVzZS1jaXRpZXMtcGF5LXByb3MtdGhlLW1vc3QvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
The Business Journals	1549372320	IBM charts a new path to fill 151K data scientist jobs - Bizwomen	The ratio of men to women in data science jobs is currently about 3 to 1.	https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9iaXp3b21lbi9uZXdzL2xhdGVzdC1uZXdzLzIwMTkvMDIvaWJtLWNoYXJ0cy1hLW5ldy1wYXRoLXRvLWZpbGwtMTUxay1kYXRhLXNjaWVudGlzdC5odG1sP3BhZ2U9YWxs0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Technology Times Pakistan	1549453980	Why there will be no 'Data Science' job titles by 2029	About 10 years, there will be no data science job and MBA jobs. Here is why. MBAs, computer degrees and data science degrees are degrees, not jobs.	https://news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LnRlY2hub2xvZ3l0aW1lcy5way9uby1kYXRhLXNjaWVuY2Utam9iLXRpdGxlcy0yMDI5L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Dataconomy	1548316800	Snapshot: Data Scientist Salaries and Jobs in Europe	Here is what a recent report says about job opportunities for Data Scientists across Europe including salaries and benefits, job motivations, programming ...	https://news.google.com/articles/CBMiU2h0dHBzOi8vZGF0YWNvbm9teS5jb20vMjAxOS8wMS9zbmFwc2hvdC1kYXRhLXNjaWVudGlzdC1zYWxhcmllcy1hbmQtam9icy1pbi1ldXJvcGUv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Economic Times	1548144000	Big Data, machine learning, data science to drive top job opportunities: Report	KOLKATA: Big Data, machine learning and data science will drive top job opportunities this year, says the Salary Benchmark 2019 report by professional ...	https://news.google.com/articles/CAIiEKq920KMyNxhnly12HLma9MqGQgEKhAIACoHCAow2pqGCzD954MDMJGlmgY?hl=en-IN&gl=IN&ceid=IN%3Aen
Guardian Nigeria	1549814400	ICT company collaborates with Amazon to empower 400 youths on AI,data science skills	An Information Communication Technology (ICT) company, Coven Works, says it is collaborating with Amazon to equip 400 youths in West Africa with Artificial ...	https://news.google.com/articles/CAIiECX6VLWxRkTa3gwdevzL2Y4qGQgEKhAIACoHCAow5tb5CjCzyuYCMJvDuAU?hl=en-IN&gl=IN&ceid=IN%3Aen
Yahoo Finance UK	1547625600	Data Scientist: A Hot Job That Pays Well	Back in 2012, the Harvard Business Review called data scientist “the sexiest job of the 21st Century.” Six years later, the data scientist job has only grown sexier.	https://news.google.com/articles/CBMiSWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9kYXRhLXNjaWVudGlzdC1ob3Qtam9iLXBheXMtMDUwMTU5NTc5Lmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
CIO Dive	1549294644	IBM's data scientist certification program works to fill talent drought	First Published on. Dive Brief: IBM and global tech consortium The Open Group are partnering on a data science certification to help grow the data science talent ...	https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LmNpb2RpdmUuY29tL25ld3MvaWJtcy1kYXRhLXNjaWVudGlzdC1jZXJ0aWZpY2F0aW9uLXByb2dyYW0td29ya3MtdG8tZmlsbC10YWxlbnQtZHJvdWdodC81NDc1MzEv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
